Keyword,Title,Source,Time,Summary
国际政治,百年变局:步入新旧交叠的国际政治周期,第一财经,2022年3月14日,美国学者莫德尔斯基借助过去500年的历史经验发现，国际政治格局每过100至120年左右就会发生重构。1494年以来国际政治经历了5轮周期，平均长度约109年。照此推算，我们当前正处于这一轮...
国际政治,"俄乌激战之时,日本频频跳脚为哪般?",澎湃新闻客户端,未知时间,"(作者:姚宗远,国际关系学院国际政治系2019级本科生。本文仅代表作者个人观点,与北京大学区域与国别研究院立场无关,文责自负。引用、转载请标明作者信息及文章出处。) 参考资料 [1]『日·ウクライナ首脳電話会談』、外務省トップペー..."
国际政治,环球论坛·2022盘点之三|国际政治篇:紧跟国际热点 解读新,大众日报,未知时间,刚刚过去的2022年，国际政治波诡云谲、起伏不定。这其中有微澜，有巨浪，有趋势，有结局……大众日报《环球论坛》专栏在总结借鉴以往成功经验的基础上，继续紧跟国际政治热点，邀请知名...
国际政治,政治操弄种族灭绝是对国际法的亵渎,光明网,2021年12月13日,然而，种族灭绝又是一个常被政治化、被乱用的概念，极易沦为国际政治斗争的工具，特别是西方大国给他国扣帽子、干涉他国内政、实施制裁甚至军事打击的工具。种族灭绝：从概念到罪行 众所周知，人类历史上特别是近代以来多次发生针对特定...
国际政治,国际锐评丨美方的“气球政治秀”,央视网,2023年2月19日,"如果美方想给“气球政治秀”收场,就请拿出真正的诚意来,不要再因国内政治需要做出荒唐无稽的事情,不要让一只“流浪气球”带偏了中美关系。 (国际锐评评论员)"
国际政治,李宗伦:俄罗斯各阶层对“俄乌战争”的态度及莫斯科现状,观察者网,2022年4月5日,"著名媒体人,国际政治评论家 俄罗斯对乌克兰“特别军事行动”开展以来,特别是俄军进攻受阻,进展缓慢,战事胶着时期,俄罗斯许多媒体人,特别是电视台的著名主持人与政治评论员对乌克兰的“..."
国际政治,阎学通:未来十年国际政治的格局变化,澎湃新闻,2020年12月14日,"基于我在《大国领导力》中提出的理论,以下将对未来10年国际政治的变化进行预测,这期间中国的崛起将引起国际政治的权力再分配。所有科学的预测都必须有明确的时间期限,否则它们是不可验..."
国际政治,国际政治与全球治理,新浪财经,2020年1月6日,"国际政治与全球治理 35 特朗普是否会赢得大选? 樊志菁 极有可能。 2016年,美国民主党总统候选人希拉里的总得票数超过了彼时的共和党总统候选人特朗普300多万票,但依然输了,今年这种差距可能进一步扩大,不过这可能同样不足以改变特朗普连任..."
国际政治,「徐秀军 林凯文」国际经济议程政治化与世界贸易组织改革困境,中国社科院世经政所,2022年10月28日,（一）国际经济议程政治化的概念解析 国际议程设置是国际议程设置者在某些议题平台使特定国际议题及议题的后续安排得到相关行为体及国际社会重视和接受并追求制度化的过程。作为国际议程设置的对象，议程是一系列待解决议题的有序集合，议题是...
国际政治,新东西方与国际秩序之争,澎湃新闻客户端,未知时间,在国际秩序的制度构想中，中俄都主张继续把联合国作为基本框架，都坚持联合国在国际事务中的中心地位，都要求维护联合国在国际事务中的权威性。这既是因为中俄都是联合国安理会常任理事...
国际政治,"没做Ⅲ期临床,俄新冠疫苗为什么要光速上市?",健康界,2020年8月12日,"2.国际政治因素 在俄疫苗上市当日,据美国消费者新闻与商业频道(CNBC)当地时间11日报道,特朗普在当天的白宫疫情简报会上宣布,美国政府将从摩德纳公司(Moderna)订购1亿剂实验性新冠疫苗“..."
国际政治,问政智库|李巍:中国的世界性大国地位及影响,澎湃新闻,2019年5月22日,上述所有的指标都意味着中国已成为一个“超级巨型经济体”。这使得国际政治经济学者不得不高度关注并研究中国在全球经济体中的份量变化及其意义。 二、中国是具有重要影响的政治大国 政...
国际政治,"中国日报社社长兼总编辑曲莹璞:联接中外、沟通世界,推动国际传播...",中国日报网,2022年6月15日,当前，百年变局和世纪疫情、俄乌冲突交织叠加，正给国际政治格局和世界秩序带来深远影响。美西方在俄乌冲突中所采取的舆论领域极限施压甚至突破底线的“封号”“堵路”等做法，让世界再...
国际政治,吴志成:维护世界和平和稳定的中流砥柱,中共中央党校,未知时间,但是让世界深感忧虑的是，尽管冷战已经结束多年，一些人在冷战时期形成的观察国际事务的思维模式和认知框架却并未消失，这种对抗性思维随着国际政治结构性矛盾的上升重新显现。在国际事务中，一些国家的思维还跟不上时代前进步伐，一些政客的...
国际政治,威胁并非我们的风格!驻德大使吴恳驳斥关于中方隐瞒疫情的无端指责,上观,2020年5月9日,"明镜:疫情是否将改变国际政治格局? 吴大使:在疫情应对方面,我们关注的不应是领导力,而是责任。相对而言,拥有更多资源和能力的大国应该承担更多责任并作出更大贡献。中国疫情防控和国际..."
国际政治,高柏:美元——大国兴衰的原点,观察者网,2019年7月13日,"二战后,国际政治经济秩序正在经历最深刻的变化。为了理解今天保护主义和贸易战等新国际形势,我们面临着一系列的问题: 为什么特朗普在2016年的总统大选中胜出?为什么他的竞选口号和执政..."
国际政治,2019年国际形势与中国外交:“中流击水、浪遏飞舟”,人民网,未知时间,"国际政治安全形势跌宕起伏 一、“美国优先”导致国际安全风险加剧 2019年,世界并不太平。美国国家安全战略视大国竞争为首要关切,执意以“美国优先”原则重塑世界秩序,导致大国战略博弈加剧。2019财年,美国国防预算高达7163亿美元。2019年2月..."
国际政治,上海社科新人访谈录|刘宏松:为中国参与全球治理提供智识支持,澎湃新闻,未知时间,刘宏松：我的学术经历比较简单。我本科、硕士和博士都是在复旦大学读的，所学专业都是国际关系或国际政治。博士毕业后到上海外国语大学从事教学和科研工作，2020年调入上海交通大学国际...
国际政治,国际秩序大变局,人民资讯,2021年10月21日,国际政治场的话语概念变换无穷，但权力斗争的底色并未改变，仍是以大国依据其实力和利益展开的博弈为主导。当今世界正处于百年未有之大变局，主要就体现在国际秩序之变。国际秩序的构成...
国际政治,礼赞大师| 金仲华:于错综复杂中把握国际问题实质,文汇报,2021年9月1日,1933年，金仲华辞去塔斯社的工作，进入开明书店协助叶圣陶编辑《中学生》，并在版面上开辟了“国际政治讲话”专栏，系统地介绍国际政治、经济方面的知识。他在此结识了同年进入开明书店...
国际政治,国际秩序大变局,人民资讯,2021年10月21日,国际政治场的话语概念变换无穷，但权力斗争的底色并未改变，仍是以大国依据其实力和利益展开的博弈为主导。当今世界正处于百年未有之大变局，主要就体现在国际秩序之变。国际秩序的构成...
国际政治,礼赞大师| 金仲华:于错综复杂中把握国际问题实质,文汇报,2021年9月1日,1933年，金仲华辞去塔斯社的工作，进入开明书店协助叶圣陶编辑《中学生》，并在版面上开辟了“国际政治讲话”专栏，系统地介绍国际政治、经济方面的知识。他在此结识了同年进入开明书店...
国际政治,"...沃尔特:今天的美国,没有资格要求中国尊重“基于规则的国际秩序”",观察者网,2021年4月19日,或者正如兰德公司的迈克尔•马扎尔（Michael Mazarr）最近所说，“核心问题是，美国和中国正为塑造基础性的全球体系而展开竞争，即支配国际政治的基本理念、习惯和期望。这最终是一场有...
国际政治,「邵峰」美国敌视中国的国际背景和逻辑根源,中国社科院世经政所,2020年7月8日,第一，特朗普政府失信于国际社会，而中国一向恪守国际承诺。特朗普政府漠视和违背西方赖以发展的契约精神，甚至公然退出多项国际组织和条约。作为现有国际秩序的主导者，美国在国际合作中的“退出政策”正引发国际政治和经济的混乱。在多数情况...
国际政治,寒竹:“国际秩序”与“世界秩序”的博弈与中国的位置,澎湃新闻,2019年10月2日,"在多国林立并有着利益冲突的世界,哪个国家没有同盟或同盟很弱小,就有可能在国际冲突中失败。通常,国家间的冲突最终表现为同盟间的冲突。17 世纪中叶以后,国际政治事实上进入同盟时代。 ..."
国际政治,"这家美国通信巨头说,未来无线通信产业还会是依靠于全球合作",上观,2018年11月3日,"Q:如今,风云变幻的国际政治和经济环境又是否会影响高通的在华投资战略? A:当下,全球政治经济环境存在一定的不确定性,但这不会对高通在中国以及全球的投资造成影响。因为无线通信产业本..."
国际政治,国际社会热议:中国新型政党制度是一项伟大的政治创造,央视网,2018年10月19日,"2018年3月,习近平总书记在全国政协十三届一次会议联组会上发表重要讲话,提出“新型政党制度”的重大政治论断,引发国际社会广泛关注和持续热议。国际社会普遍认为,新型政党制度植根于中..."
国际政治,“一带一路”背景下中孟经贸合作的机遇、风险与对策,人民网,2018年6月20日,"二是通过购买政治保险尽可能降低该类风险的影响。购买对象为国际政治保险产品、本国保险产品、多边信用保险产品等。现阶段,中国企业的海外投资项目基本都采取向本国保险机构购买相关保险进行风险防范,一般通过购买中国信用保险公司的债券类..."
国际政治,《天空之城》里的“废核”隐喻:空中都市为什么毁灭?,澎湃新闻,2018年6月13日,"“近代和平论”后来作为“防止战争的学问”而被体系化为“国际政治学(国际关系学)”,并进一步派生出“和平志向性”较高的“和平学(和平研究)”。 也就是说,我们认为《天空之城》处于与..."
国际政治,"这张外国外交官的照片刷了屏,网友感慨:弱国无外交",央视网,2018年4月16日,"证据依旧没有,但西方军事打击已经进行,这些国家的立场也发生了明显变化,这也算是国际政治的生存之道吧。让贾法里怅然的恐怕也有这种残酷到无法直视的国际政治现实吧。 难怪俄罗斯外长拉..."
国际政治,「深度」余潇枫:和合主义与非传统安全危机应对(下),新浪财经,2020年11月15日,唐世平提出的“社会演化理论”（social evolution doctrine）强调秩序是一个社会系统内可预测性的程度，国际政治系统是一个进化系统，并按照“突变-选择-遗传”机制演化，认为世界也终...
国际政治,2020年国际形势展望,半月谈网,2020年1月20日,"2020年大国竞争作为国际政治的主基调将更加凸显,中、美、俄、欧四大力量折冲樽俎,大国关系加速分化调整。 一是美国唯我独尊加剧大国竞争。面对多极化加速发展,美国的霸权危机感加深,其..."
国际政治,新时代的中国与世界,人民网,2019年9月27日,"20世纪50年代,中国同印度、缅甸共同倡导的互相尊重主权和领土完整、互不侵犯、互不干涉内政、平等互利、和平共处五项原则,成为国际关系基本准则和国际法基本原则,有力维护了广大发展中..."
国际政治,全球治理与中国视野,中国新闻网,2019年5月24日,"国际联盟作为多边主义的探索,作为以国际规则和国际制度维护世界秩序的尝试,开启了国际政治安全治理的先河。前两个国际治理体系,都是在世界“支离破碎”的历史背景下产生的,都是作为战争..."
国际政治,罗建波:2019中国特色大国外交的着力点和生长点,海外网,2019年2月28日,"但同时,就长期发展趋向而言,国际体系变迁趋向和国际格局演变大势体现出四个“没有变”:经济全球化继续向前推进的历史进程没有变,国际政治多极化态势继续发展的总体态势没有变,全球治理..."
国际政治,"新一轮“中国威胁论”,有啥不一样?",海外网,2018年8月13日,第一，中国是现行国际体系的参与者、建设者、贡献者。中国已参加或积极参与了与国际经济、全球贸易、技术传播和国际政治有关的所有主要国际制度。中国严格遵守国际组织的规章制度和签署...
国际政治,金砖国家领导人第十次会晤约翰内斯堡宣言(全文),央视网,2018年7月27日,"我们重申支持多边主义,共同落实2030年可持续发展议程,推动国际政治经济秩序朝着更具代表性、民主、平等、公平和公正的方向发展。 7。我们重申将携手加强多边主义和国际关系法治化,推动国际秩序更加公平、公正、平等、民主、更具代表性。"
国际政治,观念竞合与国际体系的变迁(下),澎湃新闻,2018年6月5日,从更长的历史进程看，观念对国际政治的影响更为明显 。18 世纪法国大革命早已成为历史，但它提出的理想，即自由、平等和博爱，至今仍影响着世界；20 世纪社会主义的理想一度改变了全球...
国际政治,柬埔寨:“一带一路”建设的新样板,观察者网,2018年1月11日,"然而纵观相关中文文献,研究范围分散在国际政治、经济体制改革、贸易、产业等国别研究领域,缺乏对“一带一路”历史机遇下中柬合作的务实研究和深入思考。3 中国人民大学重阳金融研究院一..."
国际政治,【专家谈】金砖合作进一步提升新兴国家政治实力,央视网,2017年9月2日,"国际政治是多元的,但这种多元深受强权的影响,表达多元的机会不会自动落在新兴和发展中国家头上,金砖合作过去十年在价值引领上取得成就,为自己争取了表达的机会,赢得了国际社会的认可,也就在政治影响上赢得了稳固的一席之地。"
国际政治,"两会前,中央政治局会议传递了哪些信息?",央视网,2017年2月23日,"面对复杂多变的国际政治经济环境和国内经济运行新变化,我们要抓住机遇、应对挑战,必须突出把握好稳中求进的工作总基调。 二、加强政策的协调配合 本次会议对宏观政策的具体部署是“继续实施积极的财政政策和稳健的货币政策,加强产业、区域..."
国际政治,刘小枫:现代国际秩序的政治史学含义,观察者网,2021年3月23日,"英国凭靠帝国权力给世界带来的全球化国际秩序以大国均势为基础,国际关系学教科书几乎一致认为,这一秩序的基本原则源于《威斯特伐利亚和约》,而这一和约是基督教欧洲在17世纪经历的一场3..."
国际政治,「刘仕国」我国世界经济学研究取得长足发展,中国社科院世经政所,2020年8月15日,其传统子学科为国际贸易学、国际金融学、国际投资学、世界经济统计学、全球宏观经济学、国际发展经济学等。近年来，国际政治经济学、马克思主义国际政治经济学和全球经济治理学等新兴子学科得到长足发展。从2015年到2019年，国际政治经济学...
国际政治,"访中南大学毛俊响:因应“百年未有之大变局”,办好自己的事情,走向...",湖南日报,2020年5月21日,本次疫情中，美国和中国的国际影响力此消彼长，从侧面印证了国际政治力量对比日趋平衡。因此，新冠肺炎疫情不是“百年未有之大变局”的主宰者。5. 新冠肺炎疫情对中国内外部环境既带来...
国际政治,不断夺取新时代伟大斗争新胜利,国际在线,2018年6月6日,在政治经济领域，既要面对国内改革攻坚的障碍，又要面对国际政治经济霸权的阻遏；在文化领域，西方话语体系与西方价值标准对我国文化安全的冲击不容忽视；在网络空间，信息技术迅猛发展，国家安全面对着新的问题和挑战。随着全面深化改革深入...
国际政治,中美可以共同跨越“修昔底德陷阱”,中国经济网,2018年1月15日,"另一方面,国际社会既不希望中美关系走得太近,也不希望彻底“闹掰”。如果中美关系交恶,由于地区经济一体化、中美经济深度“捆绑”等因素,相关国家无法从中受益,结果只能是一损俱损。万..."
国际政治,百年变局迎来关键时期--理论-中国共产党新闻网,人民网,2018年1月4日,"“在国际政治格局中,以美国为代表的西方发达国家和以中国为代表的新兴市场国家和发展中国家之间关系的发展趋势更加平衡。在这个过程中,2018年将是关键年份。”中国国际问题研究院副院长、研究员荣鹰在接受本报记者采访时说,“从力量对比来..."
国际政治,"与世界对话,领全球发展——“一带一路”倡议为世界注入正能量",央视网,2017年5月11日,"作者:华侨大学国际政治系主任,中国与全球化智库一带一路研究所所长 黄日涵 2013年习近平主席提出“一带一路”倡议以来,围绕着“一带一路”的“五通”以及六大经济走廊的构建取得了积极..."
国际政治,观察者网:专家实时纵论2016年美国大选计票,观察者网,2016年11月9日,"复旦大学国际政治系沈逸: 在开票阶段,CNN似乎采取了让结果停留在希拉里微弱领先的时刻,没有实时公布数据。 同时,CNN佛罗里达州开票结果停留在93%,长时间未再更新,也就无法得出特朗普拿下佛州。"
国际政治,全球治理中的国际秩序变革,人民网,2016年7月4日,"国际政治秩序变革的主要任务就是维护、加强联合国秩序,同时弱化强权秩序;国际经济秩序变革的主要任务就是在现有秩序框架下增加发展中国家特别是新兴大国的权力,同时不断创新能够体现国际力量对比变化的制度和机制。"
国际政治,梅新育:59枚导弹难改国际经济政治大势,观察者网,未知时间,"不仅如此,即使在对所谓“地缘政治性风险”最敏感的原油和黄金市场上,这场轰炸带来的冲击也只能是短暂的,不可能长久。 首先,叙利亚不是重要石油生产国,也没有扼控石油运输关键通道,其战..."
国际政治,气候问题是如何走上国际谈判桌的,澎湃新闻,2015年12月15日,"既然,在20世纪70年代全球气候变暖仍是一个不确定的命题,为何到了90年代它即作为一种共识走上了国际政治的谈判桌?是谁促成了这一共识的形成? 有学者在研究中指出,美国一项民意调查表明,1..."
国际政治,从现代世界政治因素审视抗战胜利,人民网,2015年8月24日,"但是出于对整体利益和本国长远利益的考虑,也出于对国际政治伦理的畏惧,当时资本主义世界国家基本都不敢公开抽象地否定国家主权这一维系世界体系存在的核心理念。诞生于“凡尔赛-华盛顿”体系中的国际联盟就把维护世界和平作为自己的主旨。虽然..."
国际政治,国际问题专家解读《关于政治解决乌克兰危机的中国立场》文件,央视网,2023年2月25日,"2月24日,在乌克兰危机全面升级一周年之际,中国外交部发布《关于政治解决乌克兰危机的中国立场》文件。多位受访的国际问题专家表示,文件全面系统地阐释中方的有关基本立场主张,为推动政治解决乌克兰危机指明了正确路径,回应了国际社会的普遍关..."
国际政治,当代国际政治传播的新趋势,人民论坛网,2022年8月3日,"【摘要】国际政治传播既是国际舆论场的热点与焦点,也是国内舆论场形成的时代背景与影响力量。当代国际政治传播呈现出反民主化格局更加明显,武器化特征更加突出,技术化因素更加重要,情绪化倾向更加强烈的新趋势。透过基本的新闻传播学理论可以..."
国际政治,"西媒文章:这场国际地缘政治“政变”,美帝已谋划了数年",新华社客户端,未知时间,原标题:西媒文章：这场国际地缘政治“政变”，美帝已谋划了数年 参考消息网6月14日报道西班牙《起义报》网站6月11日发表拉蒙·格罗斯福格尔的文章，题为《第三次世界大战：世界新秩序与...
国际政治,俄乌战争改变地缘政治关系及国际关系,人民资讯,2022年4月14日,至少从目前的情况来看，俄罗斯在国际社会仍然有支持者。但是，俄罗斯最大的市场在欧洲。俄罗斯外交部发言人表示，欧洲联盟已经变成北大西洋公约组织的“经济部门”，北约和欧洲联盟将联...
国际政治,新时代推动国际理解教育与思想政治教育深度融合探析,中国教育新闻网,2020年11月15日,百年来，西方国家主导国际政治的情况正发生根本性变化。另一方面，全球化趋势深入发展，快速进步的人工智能、虚拟现实和5G通讯等科学技术深度改变人类社会的生活方式与组织模式。复杂且迅速变化的国际形势，使国际和国内两个大局前所未有地紧密...
国际政治,「中国稳健前行」从国际比较看中国政治优势,海报新闻,2019年9月3日,民主集中制的制度和原则保证了中国的制度整合力，这与代议制民主所强化的认同政治以及所造成的政治裂痕，形成了鲜明的对比。在以人民为中心的政治秩序下，中国政治制度中出色的制度整合力和国家治理中优秀的政策执行力，相比较于国际上有些...
国际政治,...伸越长——“长臂管辖”如何支撑美国霸权体系并损害国际关系准则,光明网,2019年5月30日,"用“长臂管辖”和经济制裁遏制和打击对手,已成为美国利用市场玩弄世界经济、利用经济玩弄国际政治的惯用伎俩。 更值得警惕的是,“长臂管辖”挑战了国际司法实践中“一个国家不应该在另..."
国际政治,当代国际政治传播的新趋势,人民论坛网,2022年8月3日,"【摘要】国际政治传播既是国际舆论场的热点与焦点,也是国内舆论场形成的时代背景与影响力量。当代国际政治传播呈现出反民主化格局更加明显,武器化特征更加突出,技术化因素更加重要,情绪化倾向更加强烈的新趋势。透过基本的新闻传播学理论可以..."
国际政治,"西媒文章:这场国际地缘政治“政变”,美帝已谋划了数年",新华社客户端,未知时间,原标题:西媒文章：这场国际地缘政治“政变”，美帝已谋划了数年 参考消息网6月14日报道西班牙《起义报》网站6月11日发表拉蒙·格罗斯福格尔的文章，题为《第三次世界大战：世界新秩序与...
国际政治,俄乌战争改变地缘政治关系及国际关系,人民资讯,2022年4月14日,至少从目前的情况来看，俄罗斯在国际社会仍然有支持者。但是，俄罗斯最大的市场在欧洲。俄罗斯外交部发言人表示，欧洲联盟已经变成北大西洋公约组织的“经济部门”，北约和欧洲联盟将联...
国际政治,新时代推动国际理解教育与思想政治教育深度融合探析,中国教育新闻网,2020年11月15日,百年来，西方国家主导国际政治的情况正发生根本性变化。另一方面，全球化趋势深入发展，快速进步的人工智能、虚拟现实和5G通讯等科学技术深度改变人类社会的生活方式与组织模式。复杂且迅速变化的国际形势，使国际和国内两个大局前所未有地紧密...
国际政治,「中国稳健前行」从国际比较看中国政治优势,海报新闻,2019年9月3日,民主集中制的制度和原则保证了中国的制度整合力，这与代议制民主所强化的认同政治以及所造成的政治裂痕，形成了鲜明的对比。在以人民为中心的政治秩序下，中国政治制度中出色的制度整合力和国家治理中优秀的政策执行力，相比较于国际上有些...
国际政治,...伸越长——“长臂管辖”如何支撑美国霸权体系并损害国际关系准则,光明网,2019年5月30日,"用“长臂管辖”和经济制裁遏制和打击对手,已成为美国利用市场玩弄世界经济、利用经济玩弄国际政治的惯用伎俩。 更值得警惕的是,“长臂管辖”挑战了国际司法实践中“一个国家不应该在另..."
国际政治,马克思主义时代观与国际新秩序构建,新华网,2016年3月10日,"马克思主义时代观同“新帝国时代”、“霸权后时代”、“后冷战时代”、“后金融危机时代”、“信息时代”等基于国际政治、经济、科技视角的时代观有着本质区别,其要旨是揭示共产主义必然取代资本主义的社会发展规律。"
国际政治,日本74位学者联合声明:首相战后70周年谈话应深思熟虑,澎湃新闻,2015年8月6日,"对此,由明治大学特聘教授大沼保昭和东京大学名誉教授三谷太一郎发起,与日本国际法学、历史学及国际政治学的七十多名学者共同发表联合声明,期望首相讲话应深思熟虑,对70年前违反国际法的..."
国际政治,文明崛起:中国特色国安法治的路径思考,人民网,2015年3月16日,"美国哥伦比亚大学国际政治学者杰克?斯奈德教授认为“西方人担心的是,中国当前政权在社会中的合法性,是不是能继续得到大众的广泛认可。一旦出现意外,中国现行的政策就可能转向,大众的怨恨可能会通过民族主义的方式表达出来”;“中国的精英阶层..."
国际政治,邓小平四大历史贡献【4】--党史频道-人民网,人民网,2014年8月25日,"一方面,通过对20世纪七八十年代国际政治、世界经济和新科技革命的深刻洞察,邓小平科学回答了“如何认识世界”这个重大问题,并在此基础上得出了中华民族遇到了“一个难得的发展机遇”的重要结论。"
国际政治,权威论坛:和平共处五项原则历久弥新,人民网,2014年5月29日,"互相尊重主权和领土完整、互不侵犯、互不干涉内政、平等互利、和平共处五项原则的基础上。我们反对任何国家违背这些原则,在任何地区建立霸权和势力范围。”1988年12月21日,邓小平会见来访的印度总理拉吉夫·甘地时再次谈到建立国际政治经济新..."
国际政治,2014—2015年世界经济形势回顾与展望,中国共产党新闻网,未知时间,"(第一作者系中国社会科学院世界经济与政治研究所所长;第二作者系中国社会科学院世界经济与政治研究所国际政治经济学研究室副主任) (《当代世界》杂志授权人民网-中国共产党新闻发布,请勿转载) ..."
国际政治,柴静等央视名嘴谈马克思主义新闻观学习体会,观察者网,2013年6月23日,"为了让活动与工作紧密结合,中央电视台邀请各方面专家就广电行业发展的现状与未来、西方媒体员工管理制度、正确认识改革开放成就、当前国际政治形势、文化产业的生态嬗变、播音员主持人综合素质提升、媒体创新与网络环境、传统媒体与社交媒体的竞..."
国际政治,2012年国际政治主要特点及其影响,人民网,2012年12月19日,"冷战结束后,国际政治格局朝着多极化方向持续发展。进入新世纪,特别是自2008年由美国次贷危机引发全球金融海啸以来,这一趋势愈发呈现出不断“加速”的特点:一方面,西方尤其是美国出于对冷战终结这一重大历史事件的误读导致近乎全方位的战略失..."
国际政治,2012年的中国与世界(政治篇):直面挑战 共同前行,中国政府网,2012年2月1日,"墨西哥国立自治大学国际政治问题专家赫诺韦娃·达维拉说,伊朗是中国重要的原油进口来源之一,如果美伊爆发战争,世界能源供应将出现问题,届时中国也难独善其身。而且中国和中东国家的贸易也将因此受到冲击。"
国际政治,萨科齐的政治逻辑,央视网,2008年12月10日,"然而,欧盟固有的政治体制并没有给他多大的表演舞台。因此,他希望高举着自由、人权的旗帜,在国际政治舞台上有一番作为。敢于挑战只是他的外在表现,而谋取政治利益,则是他的根本目的。 其次,在世界金融危机冲击之下,法国的经济每况愈下,..."
国际政治,中国智囊人士:中国将在世界政治中扮演四种角色,央视网,2008年11月8日,"中国知名智囊人士、北京大学国际关系学院院长王缉思今天在此间表示,在日益错综复杂的世界政治中,中国将扮演四种角色:坚持可持续发展道路,促进各个文明之间的交融,保障国际格局的平稳过渡,倡导合理的国际规则和秩序。"
国际政治,"金融危机影响世界格局 ""金砖四国""危与机并存",央视网,未知时间,"作为一位国际政治安全学者,我更关注的是它对国际关系、安全以及外交可能产生的后果。从国际关系角度来看,这场危机如此深刻,很有可能在未来相当长的时间内持续地影响、冲击和改造现在的国际格局。势必会造成国际力量格局的转变。"
国际政治,国际观察:巴基斯坦政坛三党政治角力,央视网,2008年8月28日,"国际观察:巴基斯坦政坛三党政治角力 这张8月18日摄自巴基斯坦国家电视台的电视照片显示,巴基斯坦总统穆沙拉夫向全国发表电视讲话宣布辞职。 新华社发 新华社伊斯兰堡8月28日电 (记者饶博) 连日来,巴基斯坦政局动荡不定。18日,巴基斯坦前..."
国际政治,中国要加快国际政治话语建设,央视网,2008年1月8日,"中新网1月8日电 新加坡《联合早报》1月8日发表题为《中国要加快国际政治话语的建设》的文章称,各种迹象表明,中国正在面临来自国际社会尤其是西方世界的软性压力。硬性压力指的是军事和地缘政治学意义上的压力,而软性压力则表现在文化、..."
国际政治,2007年国际政治走势 (组图),央视网,2007年1月22日,"单极与多极两种势力之间深刻而复杂的斗争在过去一年格外明显,2007年的国际政治形势将继续沿着这条主线演进。 冷战结束后形成的一超多强的国际格局基本框架未变,大概在今后二三十年甚至更长时间内也不会改变。但随着国际政治经济形势的发展..."
